DATE,bz,ch,sf,sz
2014-07-21,2.2194,6.2088,10.6115,0.898
2014-07-22,2.207,6.2025,10.565,0.9022
2014-07-23,2.2184,6.1982,10.5,0.9024
2014-07-24,2.2172,6.1944,10.522,0.9024
2014-07-25,2.2286,6.1913,10.5095,0.9045
2014-07-28,2.2298,6.187,10.581,0.9037
2014-07-29,2.229,6.18,10.6,0.9068
2014-07-30,2.2533,6.1712,10.6895,0.9096
2014-07-31,2.2696,6.1737,10.706,0.9086
2014-08-01,2.2674,6.1793,10.7015,0.9048
2014-08-04,2.2591,6.178,10.698,0.9068
2014-08-05,2.277,6.1705,10.7555,0.9102
2014-08-06,2.2754,6.1625,10.7275,0.9095
2014-08-07,2.2884,6.1618,10.7375,0.9086
2014-08-08,2.296,6.1557,10.669,0.905
2014-08-11,2.274,6.1528,10.633,0.9063
2014-08-12,2.2739,6.1575,10.6355,0.9082
2014-08-13,2.2762,6.1531,10.582,0.9079
2014-08-14,2.2709,6.1575,10.54,0.9056
2014-08-15,2.2736,6.147,10.6,0.9026
2014-08-18,2.2595,6.1425,10.6135,0.9066
2014-08-19,2.2555,6.1425,10.641,0.9089
2014-08-20,2.2537,6.1395,10.702,0.9116
2014-08-21,2.2555,6.151,10.694,0.9112
2014-08-22,2.2784,6.151,10.6985,0.9142
2014-08-25,2.2823,6.154,10.702,0.9144
2014-08-26,2.2725,6.1522,10.685,0.9167
2014-08-27,2.2594,6.143,10.6195,0.9148
2014-08-28,2.2521,6.1423,10.6455,0.915
2014-08-29,2.2381,6.143,10.6475,0.9174
2014-09-01,2.2447,6.1455,10.6475,0.9185
2014-09-02,2.2513,6.148,10.742,0.9196
2014-09-03,2.2308,6.1408,10.6805,0.9186
2014-09-04,2.2399,6.1383,10.7055,0.9327
2014-09-05,2.244,6.14,10.6915,0.9306
2014-09-08,2.2498,6.14,10.778,0.9317
2014-09-09,2.2825,6.1362,10.9245,0.9348
2014-09-10,2.2956,6.1284,10.9265,0.9382
2014-09-11,2.2882,6.1295,10.9545,0.9349
2014-09-12,2.3301,6.1344,10.993,0.9337
2014-09-15,2.3451,6.1415,10.985,0.9344
2014-09-16,2.3227,6.1459,10.872,0.9314
2014-09-17,2.3458,6.1385,10.967,0.9346
2014-09-18,2.3602,6.14,11.054,0.9344
2014-09-19,2.3747,6.1403,11.08,0.9404
2014-09-22,2.3862,6.14,11.1635,0.941
2014-09-23,2.41,6.1368,11.135,0.9386
2014-09-24,2.4022,6.1346,11.1495,0.9446
2014-09-25,2.4179,6.1355,11.183,0.9467
2014-09-26,2.4243,6.1266,11.25,0.9513
2014-09-29,2.4458,6.1495,11.2655,0.9498
2014-09-30,2.4484,6.138,11.3055,0.9554
2014-10-01,2.4746,6.138,11.25,0.9566
2014-10-02,2.4881,6.138,11.215,0.9532
2014-10-03,2.487,6.1385,11.3425,0.967
2014-10-06,2.4086,6.1385,11.245,0.9626
2014-10-07,2.3901,6.1385,11.1795,0.9606
2014-10-08,2.4274,6.1385,11.173,0.9564
2014-10-09,2.3922,6.1299,11.085,0.9545
2014-10-10,2.4096,6.1308,11.0875,0.9568
2014-10-13,2.4019500000000003,6.1279,11.0875,0.9552
2014-10-14,2.3943,6.125,11.0405,0.9536
2014-10-15,2.4393,6.1249,11.064,0.9444
2014-10-16,2.4742,6.123,11.0975,0.9425
2014-10-17,2.4328,6.1238,11.091,0.9468
2014-10-20,2.4555,6.1233,11.018,0.9438
2014-10-21,2.4687,6.1205,10.9925,0.9482
2014-10-22,2.4711,6.118,10.9835,0.953
2014-10-23,2.5029,6.119,10.965,0.9535
2014-10-24,2.4657,6.1168,10.929,0.9514
2014-10-27,2.5429,6.116,10.942,0.9484
2014-10-28,2.4705,6.113,10.8555,0.9463
2014-10-29,2.4349,6.1107,10.8325,0.9452
2014-10-30,2.4058,6.114,10.871,0.9552
2014-10-31,2.4535,6.1124,11.047,0.9623
2014-11-03,2.4964,6.1178,11.0755,0.9655
2014-11-04,2.5178,6.115,11.046,0.9596
2014-11-05,2.507,6.1135,11.14,0.964
2014-11-06,2.5541,6.1117,11.2455,0.9702
2014-11-07,2.5705,6.1225,11.2695,0.9684
2014-11-10,2.5402,6.119,11.252,0.9678
2014-11-11,2.5449,6.12235,11.252,0.9663999999999999
2014-11-12,2.5496,6.1257,11.174,0.965
2014-11-13,2.5922,6.1243,11.2125,0.9634
2014-11-14,2.603,6.129,11.107,0.9616
2014-11-17,2.6016,6.1242,11.115,0.9653
2014-11-18,2.5954,6.1208,11.0245,0.9583
2014-11-19,2.5744,6.119,11.0665,0.9572
2014-11-20,2.5718,6.123,10.9625,0.9596
2014-11-21,2.5247,6.1244,10.936,0.9696
2014-11-24,2.5478,6.1412,11.033,0.9676
2014-11-25,2.53,6.1355,10.9375,0.9645
2014-11-26,2.5006,6.1386,10.9645,0.9614
2014-11-27,2.5362999999999998,6.140750000000001,10.9645,0.9636
2014-11-28,2.572,6.1429,11.0595,0.9658
2014-12-01,2.562,6.1515,10.994,0.9631
2014-12-02,2.5737,6.149,11.121,0.972
2014-12-03,2.5549,6.1499,11.2375,0.9779
2014-12-04,2.5781,6.1541,11.178,0.9674
2014-12-05,2.601,6.1497,11.3435,0.9772
2014-12-08,2.6142,6.1725,11.556,0.9778
2014-12-09,2.5941,6.1855,11.421,0.968
2014-12-10,2.6106,6.1763,11.53,0.968
2014-12-11,2.6445,6.1881,11.63,0.9688
2014-12-12,2.672,6.1864,11.6625,0.962
