DATE,DEXSFUS
2014-07-21,10.6115
2014-07-22,10.5650
2014-07-23,10.5000
2014-07-24,10.5220
2014-07-25,10.5095
2014-07-28,10.5810
2014-07-29,10.6000
2014-07-30,10.6895
2014-07-31,10.7060
2014-08-01,10.7015
2014-08-04,10.6980
2014-08-05,10.7555
2014-08-06,10.7275
2014-08-07,10.7375
2014-08-08,10.6690
2014-08-11,10.6330
2014-08-12,10.6355
2014-08-13,10.5820
2014-08-14,10.5400
2014-08-15,10.6000
2014-08-18,10.6135
2014-08-19,10.6410
2014-08-20,10.7020
2014-08-21,10.6940
2014-08-22,10.6985
2014-08-25,10.7020
2014-08-26,10.6850
2014-08-27,10.6195
2014-08-28,10.6455
2014-08-29,10.6475
2014-09-01,10.6475
2014-09-02,10.7420
2014-09-03,10.6805
2014-09-04,10.7055
2014-09-05,10.6915
2014-09-08,10.7780
2014-09-09,10.9245
2014-09-10,10.9265
2014-09-11,10.9545
2014-09-12,10.9930
2014-09-15,10.9850
2014-09-16,10.8720
2014-09-17,10.9670
2014-09-18,11.0540
2014-09-19,11.0800
2014-09-22,11.1635
2014-09-23,11.1350
2014-09-24,11.1495
2014-09-25,11.1830
2014-09-26,11.2500
2014-09-29,11.2655
2014-09-30,11.3055
2014-10-01,11.2500
2014-10-02,11.2150
2014-10-03,11.3425
2014-10-06,11.2450
2014-10-07,11.1795
2014-10-08,11.1730
2014-10-09,11.0850
2014-10-10,11.0875
2014-10-13,11.0875
2014-10-14,11.0405
2014-10-15,11.0640
2014-10-16,11.0975
2014-10-17,11.0910
2014-10-20,11.0180
2014-10-21,10.9925
2014-10-22,10.9835
2014-10-23,10.9650
2014-10-24,10.9290
2014-10-27,10.9420
2014-10-28,10.8555
2014-10-29,10.8325
2014-10-30,10.8710
2014-10-31,11.0470
2014-11-03,11.0755
2014-11-04,11.0460
2014-11-05,11.1400
2014-11-06,11.2455
2014-11-07,11.2695
2014-11-10,11.2520
2014-11-11,11.2520
2014-11-12,11.1740
2014-11-13,11.2125
2014-11-14,11.1070
2014-11-17,11.1150
2014-11-18,11.0245
2014-11-19,11.0665
2014-11-20,10.9625
2014-11-21,10.9360
2014-11-24,11.0330
2014-11-25,10.9375
2014-11-26,10.9645
2014-11-27,10.9645
2014-11-28,11.0595
2014-12-01,10.9940
2014-12-02,11.1210
2014-12-03,11.2375
2014-12-04,11.1780
2014-12-05,11.3435
2014-12-08,11.5560
2014-12-09,11.4210
2014-12-10,11.5300
2014-12-11,11.6300
2014-12-12,11.6625
2014-12-15,11.7455
2014-12-16,11.6675
2014-12-17,11.6240
2014-12-18,11.5605
2014-12-19,11.6160
2014-12-22,11.5270
2014-12-23,11.6355
2014-12-24,11.6540
2014-12-25,11.6540
2014-12-26,11.6540
2014-12-29,11.6370
2014-12-30,11.5650
2014-12-31,11.5425
2015-01-01,11.5425
2015-01-02,11.6990
2015-01-05,11.7155
2015-01-06,11.7005
2015-01-07,11.7075
2015-01-08,11.5530
2015-01-09,11.4850
2015-01-12,11.5260
2015-01-13,11.5100
2015-01-14,11.4405
2015-01-15,11.5100
2015-01-16,11.5740
2015-01-19,11.5740
2015-01-20,11.6130
2015-01-21,11.5240
2015-01-22,11.3765
2015-01-23,11.4020
2015-01-26,11.4430
2015-01-27,11.5410
2015-01-28,11.5250
2015-01-29,11.5570
2015-01-30,11.6510
2015-02-02,11.5185
2015-02-03,11.4065
2015-02-04,11.4375
2015-02-05,11.2705
2015-02-06,11.5005
2015-02-09,11.5930
2015-02-10,11.7040
2015-02-11,11.8645
2015-02-12,11.6920
2015-02-13,11.6300
2015-02-16,11.6300
2015-02-17,11.6310
2015-02-18,11.6820
2015-02-19,11.6225
